J2,10118193-0001LF,FCI_10118193-0001LF,118.500,9.500,90.0,TOP,SMD
R9,10M,R0603,111.500,12.000,270.0,TOP,SMD
L1,120OHM-500MA,L0603,113.750,6.500,270.0,TOP,SMD
C2,2.2uF,C0603,106.350,73.600,270.0,TOP,SMD
C1,220nF,C0603,74.300,67.350,270.0,TOP,SMD
Q1,2N7002,SOT23,93.000,26.750,90.0,TOP,SMD
C4,4.7uF,C0603,111.500,6.500,90.0,TOP,SMD
C3,4700pF,C0603,113.750,12.000,90.0,TOP,SMD
R1,51,0603,63.000,81.000,90.0,TOP,SMD
R2,51,0603,70.000,51.000,270.0,TOP,SMD
R3,51,0603,70.000,57.000,270.0,TOP,SMD
R4,51,0603,74.000,81.000,90.0,TOP,SMD
R5,51,0603,74.000,57.000,270.0,TOP,SMD
R6,51,0603,70.000,81.000,90.0,TOP,SMD
R7,51,0603,58.000,69.000,90.0,TOP,SMD
R8,51,0603,58.000,63.000,90.0,TOP,SMD
U1,ATMEGA328P,TQFP32-08,66.000,66.000,180.0,TOP,SMD
R10,TBD,R0603,92.000,21.000,0.0,TOP,SMD
R11,TBD,R0603,99.000,21.000,0.0,TOP,SMD
R12,TBD,R0603,86.750,26.750,180.0,TOP,SMD
U$1,WHITE,1113(2835METRIC),18.000,102.000,0.0,TOP,SMD
U$2,WHITE,1113(2835METRIC),18.000,90.000,0.0,TOP,SMD
U$3,WHITE,1113(2835METRIC),18.000,78.000,0.0,TOP,SMD
U$4,WHITE,1113(2835METRIC),18.000,66.000,0.0,TOP,SMD
U$5,WHITE,1113(2835METRIC),18.000,54.000,0.0,TOP,SMD
U$6,WHITE,1113(2835METRIC),18.000,42.000,0.0,TOP,SMD
U$7,WHITE,1113(2835METRIC),18.000,30.000,0.0,TOP,SMD
U$8,WHITE,1113(2835METRIC),18.000,18.000,0.0,TOP,SMD
U$9,WHITE,1113(2835METRIC),30.000,102.000,0.0,TOP,SMD
U$10,WHITE,1113(2835METRIC),30.000,90.000,0.0,TOP,SMD
U$11,WHITE,1113(2835METRIC),30.000,78.000,0.0,TOP,SMD
U$12,WHITE,1113(2835METRIC),30.000,66.000,0.0,TOP,SMD
U$13,WHITE,1113(2835METRIC),30.000,54.000,0.0,TOP,SMD
U$14,WHITE,1113(2835METRIC),30.000,42.000,0.0,TOP,SMD
U$15,WHITE,1113(2835METRIC),30.000,30.000,0.0,TOP,SMD
U$16,WHITE,1113(2835METRIC),30.000,18.000,0.0,TOP,SMD
U$17,WHITE,1113(2835METRIC),42.000,102.000,0.0,TOP,SMD
U$18,WHITE,1113(2835METRIC),42.000,90.000,0.0,TOP,SMD
U$19,WHITE,1113(2835METRIC),42.000,78.000,0.0,TOP,SMD
U$20,WHITE,1113(2835METRIC),42.000,66.000,0.0,TOP,SMD
U$21,WHITE,1113(2835METRIC),42.000,54.000,0.0,TOP,SMD
U$22,WHITE,1113(2835METRIC),42.000,42.000,0.0,TOP,SMD
U$23,WHITE,1113(2835METRIC),42.000,30.000,0.0,TOP,SMD
U$24,WHITE,1113(2835METRIC),42.000,18.000,0.0,TOP,SMD
U$25,WHITE,1113(2835METRIC),54.000,102.000,0.0,TOP,SMD
U$26,WHITE,1113(2835METRIC),54.000,90.000,0.0,TOP,SMD
U$27,WHITE,1113(2835METRIC),54.000,78.000,0.0,TOP,SMD
U$28,WHITE,1113(2835METRIC),54.000,66.000,0.0,TOP,SMD
U$29,WHITE,1113(2835METRIC),54.000,54.000,0.0,TOP,SMD
